Method,Accuracy
Constant,0.4879275653923541
MLP,0.682092555331992
ResNet,0.6841046277665996
FTTrans,0.6830985915492958
boosted_trees,0.6780684104627767
rf,0.6780684104627767
logistic_regression,0.6871227364185111
engression,0.6861167002012073
GAM,
GP,
